STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/30/1972,90,80,,,,0,0,1,,37,30,,270,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/31/1972,10,0,,,,0,0,0,,32,23,,260,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/1/1972,60,60,,,,0,0,0,,38,25,,230,,,,,,15,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/2/1972,100,100,,,,0.03,0,0,,35,32,,60,,,,,,23,,,,,,,,,,,,1,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/3/1972,100,100,,,,1.44,0,0,,55,32,,140,,,,,,29.1,,,,,1,,,,,,,1,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/4/1972,60,60,,,,0,0,0,,52,23,,260,,,,,,40.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/5/1972,10,10,,,,0,0,0,,26,17,,270,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/6/1972,90,100,,,,0.31,2.8,0,,35,22,,290,,,,,,16.1,,,,,1,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/7/1972,40,30,,,,0.02,0.2,3,,32,18,,310,,,,,0.3,25.9,,,,,1,,,,,,,1,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/8/1972,0,10,,,,0,0,2,,25,14,,260,,,,,0.2,23,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/9/1972,40,50,,,,0,0,2,,31,17,,310,,,,,,16.1,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/10/1972,20,10,,,,0,0,1,,34,21,,10,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/11/1972,20,10,,,,0,0,0,,33,22,,360,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/12/1972,50,80,,,,0,0,0,,39,21,,240,,,,,,14.1,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/13/1972,90,100,,,,0.68,0,0,,50,37,,90,,,,,,38,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/14/1972,60,80,,,,0,0,0,,50,36,,300,,,,,,33.1,,,,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/15/1972,30,30,,,,0,0,0,,55,34,,280,,,,,,21,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/16/1972,30,30,,,,0,0,0,,47,34,,320,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/17/1972,100,100,,,,0.05,0.6,0,,36,30,,30,,,,,,17.9,,,,,,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/18/1972,100,100,,,,0,0,0,,40,33,,80,,,,,,23.9,,,,,,,,,,,,,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/19/1972,100,100,,,,1.52,3.4,1,,41,29,,330,,,,,,33.1,,,,,1,,,1,,,,,1,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/20/1972,50,60,,,,0,0,1,,30,14,,310,,,,,,38,,,,,,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/21/1972,70,70,,,,0,0,0,,39,14,,300,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/22/1972,40,30,,,,0,0,0,,44,17,,320,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/23/1972,70,90,,,,0.31,3.1,0,,35,14,,320,,,,,,19.9,,,,,,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/24/1972,100,100,,,,0.04,0.2,3,,42,32,,280,,,,,0.3,13,,,,,1,,,,,,,1,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/25/1972,90,90,,,,0,0,1,,43,35,,90,,,,,,12.1,,,,,1,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/26/1972,90,100,,,,0.48,0,0,,39,33,,330,,,,,,23.9,,,,,1,,,,,,,1,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/27/1972,40,50,,,,0,0,0,,39,28,,320,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/28/1972,80,60,,,,0.01,0,0,,54,37,,280,,,,,,21,,,,,,,,,,,,1,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/29/1972,50,50,,,,0,0,0,,65,39,,310,,,,,,16.1,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/1/1972,70,80,,,,0,0,0,,58,42,,180,,,,,,21.9,,,,,1,1,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/2/1972,90,80,,,,0,0,0,,55,46,,180,,,,,,29.1,,,,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/3/1972,100,100,,,,0.86,0,0,,53,28,,180,,,,,,28,,,,,1,1,1,1,,1,,1,1,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/4/1972,70,50,,,,0,0,0,,41,21,,350,,,,,,17.9,,,,,1,,,,,1,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/5/1972,80,90,,,,0.25,0,0,,44,30,,260,,,,,,30,,,,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/6/1972,30,20,,,,0,0,0,,34,25,,280,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/7/1972,60,70,,,,0,0,0,,49,30,,190,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/8/1972,80,90,,,,0.23,0,0,,48,30,,290,,,,,,25.1,,,,,,,,,,,,1,,,,,,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",3/9/1972,20,30,,,,0,0,0,,33,22,,300,,,,,,23.9,,,,,,,,,,,,,,,,,,,,,,,,
